listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
4582785,13161042,6275,2,180,2,18,0.33,0
4585734,23208658,6276,2,260,3,20,2.74,283
4586330,23677128,6277,1,80,1,0,0,0
4586448,8503180,6278,2,1500,30,24,0.43,358
4586880,23776693,6279,1,50,2,100,3.21,260
4587321,23778946,6280,2,400,3,1,0.02,0
4587905,3693416,6281,2,450,1,0,0,0
4588273,1500858,6282,2,225,30,7,0.13,173
4588678,66286,6283,2,100,2,2,0.05,0
4588689,5926785,6284,2,205,1,0,0,0
4589819,7852646,6285,1,110,1,38,2.06,46
4592475,4445796,6286,1,95,1,7,0.14,0
4593609,23810895,6287,2,150,2,42,0.76,258
4593770,23812318,6288,2,100,2,21,0.38,124
4593939,5050537,6289,2,69,1,40,0.83,3
4594389,23772724,6290,2,110,30,12,0.27,332
4594620,1520215,6291,2,250,3,0,0,0
4596378,23824219,6292,1,44,3,46,0.83,88
4598265,23834677,6293,2,155,1,242,4.4,238
4600556,15310997,6294,2,300,30,10,0.19,331
4601325,23847354,6295,1,67,1,2,0.05,0
4602440,6949069,6296,2,175,4,2,0.04,0
4603012,45609,6297,2,149,15,22,0.39,0
4603954,23718461,6298,1,85,2,0,0,365
4604991,23861788,6299,1,75,2,224,4.44,74
4605455,23575977,6300,1,120,5,0,0,0
4605840,23788242,6301,1,100,3,50,1.08,339
4606017,23867361,6302,2,129,12,20,0.37,193
4606385,3184878,6303,2,150,1,1,0.02,0
4606473,23862900,6304,2,219,5,1,0.02,0
4606614,23870076,6305,2,185,3,10,0.38,0
4606675,23591164,6306,1,65,1,21,0.38,0
4607923,1113080,6307,1,55,7,98,1.75,312
4611004,626876,6308,2,350,3,0,0,0
4611203,11702175,6309,2,170,3,6,0.11,0
4611256,626876,6310,1,250,1,0,0,0
4611295,626876,6311,1,250,1,0,0,0
4612401,21906247,6312,1,70,1,0,0,0
4613154,23899573,6313,2,150,7,23,0.42,0
4614091,16437254,6314,2,172,30,5,0.09,328
4614146,4293340,6315,1,79,2,2,0.1,0
4614435,8530836,6316,2,100,4,5,0.09,105
4614838,1698391,6317,2,272,2,7,0.13,277
4615631,22350590,6318,1,85,10,57,1.03,6
4615887,23073152,6319,2,350,2,0,0,0
4616452,23915731,6320,2,249,3,1,0.03,0
4616700,1403669,6321,2,180,4,20,0.39,208
4616865,6028908,6322,1,38,10,0,0,0
4619579,23929065,6323,2,450,3,0,0,0
4620262,1599319,6324,1,60,7,5,0.09,0
4620505,12511067,6325,2,95,1,0,0,0
4620954,23935018,6326,1,85,3,1,0.02,0
4620962,21685221,6327,2,199,1,0,0,0
4621213,23899821,6328,2,260,2,54,0.98,16
4621217,2119276,6329,2,140,30,7,0.13,332
4621713,2119276,6330,2,185,30,5,0.1,1
4621923,7947211,6331,2,126,1,44,0.78,7
4622869,2593268,6332,2,399,2,122,2.24,109
4623217,23945185,6333,2,100,7,6,0.11,0
4623622,22506665,6334,2,1000,1,0,0,364
4623635,1136842,6335,2,225,7,3,0.05,44
4623696,2378231,6336,2,85,4,4,0.07,0
4623771,23267314,6337,2,147,2,45,0.92,154
4624521,9072771,6338,1,90,14,8,0.23,146
4624657,23952819,6339,2,500,1,1,0.02,362
4624874,23162890,6340,1,72,3,37,0.66,334
4625126,7799229,6341,1,41,4,14,0.37,0
4628603,6465286,6342,2,180,3,103,1.92,0
4628804,23971734,6343,1,67,5,4,0.07,0
4629211,3754729,6344,2,122,3,48,0.87,256
4629359,23974215,6345,2,105,3,29,0.52,0
4629599,22503794,6346,1,95,1,2,0.04,364
4629726,23971405,6347,2,100,2,1,0.02,0
4629870,16437254,6348,2,130,30,3,0.07,312
4632542,6762751,6349,1,107,2,92,1.64,157
4632795,3250450,6350,1,100,30,12,0.24,364
4632852,23991556,6351,1,85,1,9,0.18,342
4633258,23993707,6352,1,30,5,2,0.04,0
4635425,23876129,6353,2,175,4,57,1.04,0
4636323,24006197,6354,1,95,1,0,0,0
4636643,24007762,6355,2,125,1,8,0.15,0
4636874,23993707,6356,1,35,5,9,0.16,0
4637014,12459436,6357,2,119,3,26,0.46,319
4637053,24009463,6358,2,150,3,149,2.71,133
4637145,3123405,6359,1,55,1,4,0.13,0
4637146,1755097,6360,2,115,2,214,4.07,108
4637858,5552587,6361,1,99,5,14,0.25,306
4638668,6569891,6362,1,150,1,0,0,0
4638967,23974215,6363,1,84,2,38,0.68,147
4639015,14380678,6364,1,129,2,13,0.27,176
4639179,3571821,6365,1,44,5,86,1.67,0
4639451,24020898,6366,1,55,6,0,0,0
4639746,6470787,6367,2,100,3,15,0.27,0
4640515,23355801,6368,1,65,1,40,2.88,45
4641291,24030482,6369,1,99,1,3,0.23,365
4641406,17281607,6370,2,100,7,2,0.04,0
4642539,5025692,6371,2,225,5,13,0.24,0
4642913,16035346,6372,2,120,7,23,0.41,196
4643192,6694436,6373,2,139,2,5,0.11,0
4643199,13347167,6374,2,142,30,3,0.09,321
4643295,8555319,6375,2,140,4,13,0.65,0
4644632,10992588,6376,2,130,200,271,4.84,64
4644669,24046558,6377,2,325,5,64,1.15,330
4644688,16927633,6378,2,350,2,9,0.21,0
4644828,805843,6379,2,175,2,5,0.12,0
4645170,22827111,6380,1,89,4,59,1.06,286
4645319,2520125,6381,2,69,4,159,3.25,48
4645824,1660261,6382,1,40,6,10,0.21,0
4645831,24052348,6383,3,65,10,21,0.38,0
4649468,2592109,6384,2,160,14,20,0.37,43
4649627,9492212,6385,1,135,2,88,1.6,0
4650123,6230230,6386,2,109,3,42,1.13,7
4650725,24075308,6387,1,85,14,3,0.05,0
4651354,24020050,6388,2,189,4,25,0.48,191
4651486,2563415,6389,2,125,3,56,2.42,19
4652629,9953720,6390,1,140,1,1,0.02,0
4653508,6349214,6391,2,160,3,4,0.07,0
4654785,24094211,6392,2,115,5,4,0.08,0
4656361,8291260,6393,2,80,3,31,0.56,68
4658293,7518105,6394,2,198,2,7,0.13,0
4658860,24109809,6395,1,200,1,0,0,0
4659046,1420868,6396,2,230,1,46,0.84,353
4659285,23334165,6397,2,450,5,81,1.48,303
4660022,745486,6398,2,895,1,66,1.18,365
4660633,4517642,6399,2,170,3,6,0.11,0
4660939,24117644,6400,1,120,3,18,0.33,0
4660964,24118443,6401,2,140,2,18,0.33,0
4661135,3175065,6402,1,70,14,18,0.35,128
4661662,21455957,6403,1,70,3,122,2.19,243
4662584,20559017,6404,1,45,30,4,0.08,311
4662784,21688465,6405,1,140,3,148,2.88,0
4662889,24041562,6406,2,600,5,6,0.11,0
4663122,16018853,6407,2,195,4,0,0,0
4663804,24132118,6408,1,79,7,1,0.02,0
4663807,4098538,6409,2,55,14,2,0.05,0
4666584,24144577,6410,2,275,3,41,0.79,258
4666794,18511357,6411,1,60,7,1,0.04,0
4667046,24146326,6412,2,195,3,86,1.69,248
4667146,20559017,6413,1,50,30,5,0.11,330
4667148,2312420,6414,2,125,30,31,0.83,346
4667707,24149026,6415,2,145,5,1,0.02,0
4668252,23772724,6416,2,99,30,15,0.31,341
4671552,10860081,6417,2,130,1,9,0.16,0
4671712,1901846,6418,2,115,3,8,0.16,0
4671824,190409,6419,1,60,1,56,1.09,355
4672445,966461,6420,2,199,4,108,1.93,162
4672452,3108161,6421,2,170,3,22,0.4,0
4677056,10476487,6422,2,385,3,1,0.02,365
4677469,24191104,6423,2,125,4,0,0,0
4677654,10387090,6424,1,37,30,6,0.11,333
4678514,23939128,6425,2,80,5,5,0.1,0
4678568,24195428,6426,1,65,1,222,3.99,292
4678742,24195790,6427,2,600,1,0,0,0
4678795,24048208,6428,2,140,3,0,0,0
4679967,7304425,6429,1,56,1,7,0.14,0
4680299,23047797,6430,1,70,2,7,0.13,0
4681193,24201950,6431,2,105,7,3,0.17,141
